Species,Precision,Recall,F1-Score,Support
Great hammerhead shark,1.0,1.0,1.0,8
Blue shark,0.875,1.0,0.9333333333333333,7
Blacktip shark,1.0,1.0,1.0,6
Bull shark,1.0,1.0,1.0,6
Sandtiger shark,0.8571428571428571,1.0,0.9230769230769231,6
Silky shark,1.0,1.0,1.0,6
Spotted Eagleray,1.0,1.0,1.0,5
Grey reef shark,1.0,1.0,1.0,4
Copper shark,1.0,1.0,1.0,3
Longtail stingray,1.0,0.6666666666666666,0.8,3
Night shark,1.0,1.0,1.0,3
Scalloped hammerhead shark,1.0,0.3333333333333333,0.5,3
Porbeagle shark,1.0,1.0,1.0,3
Milk shark,1.0,1.0,1.0,3
Scalloped bonnethead shark,1.0,1.0,1.0,3
Silvertip shark,1.0,1.0,1.0,3
Tiger shark,0.6666666666666666,1.0,0.8,2
Great white shark,1.0,1.0,1.0,2
Halavi guitarfish,1.0,1.0,1.0,2
Caribbean reef shark,1.0,1.0,1.0,2
Brownbanded bamboo shark,1.0,1.0,1.0,2
Oceanic whitetip shark,1.0,1.0,1.0,2
Blackchin guitarfish,1.0,1.0,1.0,2
Common thresher shark,1.0,0.5,0.6666666666666666,2
Dusky shark,1.0,1.0,1.0,2
Whitecheeck shark,1.0,1.0,1.0,2
Tope shark,1.0,1.0,1.0,2
Zebra shark,1.0,1.0,1.0,2
Thornback ray,1.0,1.0,1.0,2
Spinner shark,1.0,1.0,1.0,2
Narrownose smooth-hound,1.0,1.0,1.0,2
Java shark,1.0,0.5,0.6666666666666666,2
Lemon shark,1.0,1.0,1.0,2
Pacific bonnethead shark,1.0,1.0,1.0,2
Blacknose shark,0.5,1.0,0.6666666666666666,1
Arabian smooth-hound,1.0,1.0,1.0,1
Atlantic Sharpnose shark,1.0,1.0,1.0,1
Blackspotted smooth-hound,1.0,1.0,1.0,1
Finetooth shark,1.0,1.0,1.0,1
Blacktip reef shark,1.0,1.0,1.0,1
Bonnethead shark,1.0,1.0,1.0,1
Japanese topeshark,0.0,0.0,0.0,1
Hooktooth shark,1.0,1.0,1.0,1
Gummy shark,1.0,1.0,1.0,1
Gulper shark,1.0,1.0,1.0,1
Bowmouth guitarfish,0.5,1.0,0.6666666666666666,1
Nurse shark,1.0,1.0,1.0,1
Pacific guitarfish,0.5,1.0,0.6666666666666666,1
Pelagic thresher shark,1.0,1.0,1.0,1
Sandbar shark,1.0,1.0,1.0,1
Roughskin dogfish,1.0,1.0,1.0,1
Pacific smalltail shark,1.0,1.0,1.0,1
Shortfin mako,1.0,1.0,1.0,1
Spadenose stingray,1.0,1.0,1.0,1
Smooth hammerhead shark,1.0,1.0,1.0,1
Small tail shark,1.0,1.0,1.0,1
Spot-tail shark,1.0,1.0,1.0,1
